t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1639653351,4,3,1.558247,0,1.118602,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1639653361,7,6,3.182109,0,1.996417,3.000000,5.000000,6.000000,6.000000,6.000000,6.000000
1639653371,12,11,5.946897,0,3.408202,6.000000,9.000000,11.000000,11.000000,11.000000,11.000000
1639653381,16,15,8.247534,0,4.543966,9.000000,12.000000,15.000000,15.000000,15.000000,15.000000
1639653391,19,18,10.074081,0,5.401324,11.000000,15.000000,18.000000,18.000000,18.000000,18.000000
1639653401,23,22,12.636617,0,6.527646,13.000000,18.000000,22.000000,22.000000,22.000000,22.000000
1639653411,28,27,15.959342,0,7.874458,17.000000,23.000000,27.000000,27.000000,27.000000,27.000000
1639653421,32,31,18.589973,0,8.891450,20.000000,26.000000,31.000000,31.000000,31.000000,31.000000
1639653431,36,35,21.334412,0,9.912448,23.000000,30.000000,34.000000,35.000000,35.000000,35.000000
1639653441,40,39,24.239210,0,10.932994,26.000000,34.000000,38.000000,39.000000,39.000000,39.000000
1639653451,43,42,26.497933,0,11.676886,29.000000,37.000000,41.000000,42.000000,42.000000,42.000000
1639653461,48,47,30.312313,0,12.847468,33.000000,41.000000,46.000000,47.000000,47.000000,47.000000
1639653471,52,51,33.425387,0,13.736736,37.000000,45.000000,50.000000,51.000000,51.000000,51.000000
